Spacecraft,Landing Type,Landing/Impact Date,"Latitude, Longitude","Latitude, Longitude (N, E Positive)",Notes,L O,A P,L R O,,"Notes: Columns at the end of each row (LO - Lunar Orbiters 1 through 5 ; Ap - Apollo 15, 16, 17 metric and pan cameras ; and LRO - Lunar Reconnaissance Orbiter) show when those missions were operating (darker shades) or the period before operations (lighter shades), so any object or impact could be in one of the images. White indicates the landing/impact occurred after the end of the given orbital mission and cannot be in those images.",
Surveyor 7,Soft Landing,   10 January 1968   ,"   40.9812 S, 11.5127 W   ","   -40.9812, 348.4873   ",d,,,,,"z - Yutu 2 rover still mobile as of January 2023, approximately 850 m northwest of Change'e 4, final coordinates TBD.",
Lunar Orbiter 5,Impact,   31 January 1968   ,"   2.79 S, 83.04 W   ","   -2.79, 276.96   ",l,,,,,"aa - Pers. Comm., N. Petro; Jones, 2020, Chang'e 5 ascent vehicle intentionally crashed after returning samples to orbiter, most probable site is Crater Regiomontanus (-0.21, -29.84).",
Luna 14,Impact,   Unknown (1968-69)   ,   Unknown   ,   Unknown   ,g,,,,,"bb - An object, considered most likely to be the booster stage of the Chang'e 5-T1, impacted the far side of the Moon on 4 March 2022 (NASA, 2022), double crater imaged by LROC camera.",
Apollo 10 LM descent stage,Impact,   Unknown (1969)   ,   Unknown   ,   Unknown   ,g,,,,,"Coordinates based on DE 421 mean Earth/polar rotation axis reference frame (Williams et al., 2008).",
Apollo 11 LM descent stage,Crewed Landing,   20 July 1969   ,"   0.67416 N, 23.47314 E   ","   0.67416, 23.47314   ",d,,,,,"All dates in Universal Time Coordinated (UTC). All coordinates, explanations, and any future updates can be found in the NSSDCA database: https://nssdc.gsfc.nasa.gov/planetary/lunar/lunartimeline.html",
Luna 15,Impact,   21 July 1969   ,"   17 N, 60 E   ","   17., 60.   ",c1,,,,,"Precision of knowledge of location is reflected in the precision of the coordinates, 0.001 degrees equals approximately 30 meters.",
Apollo 11 LM ascent stage,Impact,   Unknown (1969)  ,   Unknown   ,   Unknown   ,g,,,,,,
Apollo 12 LM descent stage,Crewed Landing,   19 November 1969   ,"   3.0128 S, 23.4219 W   ","   -3.0128, 336.5781   ",d,,,,,,
Apollo 12 LM ascent stage,Impact,   20 November 1969   ,"   3.94 S, 21.20 W   ","   -3.94, 338.80   ",m,,,,,,
Apollo 13 S-IVB,Impact,   15 April 1970   ,"   2.5550 S, 27.8875 W   ","   -2.5550, 332.1125   ",d,,,,,,
Luna 16,Soft Landing,   20 September 1970   ,"   0.5137 S, 56.3638 E   ","   -0.5137, 56.3638   ",d,,,,,,
Luna 17,Soft Landing,   17 November 1970   ,"   38.23764 N, 35.00163 W   ","   38.23764, 324.99837   ",d,,,,,,
Lunokhod 1,Rover,   17 November 1970   ,"   38.3150 N, 35.0081 W   ","   38.3150, 324.9919   ",d,,,,,,
Apollo 14 S-IVB,Impact,   4 February 1971   ,"   8.1810 S, 26.0305 W   ","   -8.1810, 333.9695   ",d,,,,,,
Apollo 14 LM descent stage,Crewed Landing,   5 February 1971   ,"   3.64589 S, 17.47194 W   ","   -3.64589, 342.52806   ",d,,,,,,
Apollo 14 LM ascent stage,Impact,   7 February 1971   ,"   3.42 S, 19.67 W   ","   -3.42, 340.33   ",m,,,,,,
Apollo 15 S-IVB,Impact,   29 July 1971   ,"   1.2897 S, 11.8245 W   ","   -1.2897, 348.1755   ",d,,,,,,
Apollo 15 LM descent stage,Crewed Landing,   30 July 1971   ,"   26.13239 N, 3.63330 E   ","   26.13239, 3.63330   ",d,,,,,,
Apollo 15 LM ascent stage,Impact,   3 August 1971   ,"   26.36 N, 0.25 E   ","   26.36, 0.25   ",m,,,,,,
